id_ville,ville,url,hotels,Lien,Score
4,Rouen,https://www.booking.com/searchresults.fr.html?ss=Rouen,B&B HOTEL Rouen Centre Rive Droite,https://www.booking.com/hotel/fr/ibis-rouen-centre-rive-droite.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=5c002505f6ffcd922f7b0b0b1b58e185&srepoch=1754748698&from_sustainable_property_sr=1&from=searchresults,8.0
4,Rouen,https://www.booking.com/searchresults.fr.html?ss=Rouen,Hotel De Quebec,https://www.booking.com/hotel/fr/alive-hotel-de-quebec.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=5c002505f6ffcd922f7b0b0b1b58e185&srepoch=1754748698&from=searchresults,8.5
4,Rouen,https://www.booking.com/searchresults.fr.html?ss=Rouen,Hotel Dandy Rouen centre,https://www.booking.com/hotel/fr/dandy.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=5c002505f6ffcd922f7b0b0b1b58e185&srepoch=1754748698&from=searchresults,8.1
4,Rouen,https://www.booking.com/searchresults.fr.html?ss=Rouen,Rouen centre avec Sauna - Jacuzzi - Parking - 5 étoiles,https://www.booking.com/hotel/fr/rouen-centre-avec-sauna-hotspot-4g.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=5c002505f6ffcd922f7b0b0b1b58e185&srepoch=1754748698&from=searchresults,9.4
4,Rouen,https://www.booking.com/searchresults.fr.html?ss=Rouen,Hotel Morand,https://www.booking.com/hotel/fr/lemorand.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=5c002505f6ffcd922f7b0b0b1b58e185&srepoch=1754748698&from=searchresults,8.0
4,Rouen,https://www.booking.com/searchresults.fr.html?ss=Rouen,Stanislas,https://www.booking.com/hotel/fr/stanislas-rouen1.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=5c002505f6ffcd922f7b0b0b1b58e185&srepoch=1754748698&from=searchresults,8.1
4,Rouen,https://www.booking.com/searchresults.fr.html?ss=Rouen,Ambiance Jungle et Cocon en hyper centre pour 2  4 ou 6 pers - MyLittleStay,https://www.booking.com/hotel/fr/hyper-centre-rouen-wifi-6-pers-jungle-amp-cocon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=5c002505f6ffcd922f7b0b0b1b58e185&srepoch=1754748698&from=searchresults,8.4
4,Rouen,https://www.booking.com/searchresults.fr.html?ss=Rouen,DOMITYS Les Mosaïques,https://www.booking.com/hotel/fr/domitys-les-mosaiques.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=5c002505f6ffcd922f7b0b0b1b58e185&srepoch=1754748698&from=searchresults,8.8
4,Rouen,https://www.booking.com/searchresults.fr.html?ss=Rouen,Appartement confortable et élégant en centre ville,https://www.booking.com/hotel/fr/appartement-confortable-et-elegant-en-centre-ville.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=5c002505f6ffcd922f7b0b0b1b58e185&srepoch=1754748698&from=searchresults,9.1
4,Rouen,https://www.booking.com/searchresults.fr.html?ss=Rouen,Eaux Spa,https://www.booking.com/hotel/fr/eaux-spa.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=5c002505f6ffcd922f7b0b0b1b58e185&srepoch=1754748698&from=searchresults,8.2
4,Rouen,https://www.booking.com/searchresults.fr.html?ss=Rouen,l'Olympe - Babyfoot - Cinéma - Parking,https://www.booking.com/hotel/fr/olympe-babyfoot-cinema-parking.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=5c002505f6ffcd922f7b0b0b1b58e185&srepoch=1754748698&from=searchresults,9.3
5,Paris,https://www.booking.com/searchresults.fr.html?ss=Paris,Hotel Grand Coeur Latin,https://www.booking.com/hotel/fr/excelsior-latin.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c0b8aaccf42ea55c068306644f13a57b&srepoch=1754748699&from=searchresults,9.1
5,Paris,https://www.booking.com/searchresults.fr.html?ss=Paris,Royal Madeleine Hotel & Spa,https://www.booking.com/hotel/fr/royal-madeleine-paris.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c0b8aaccf42ea55c068306644f13a57b&srepoch=1754748699&from=searchresults,8.6
5,Paris,https://www.booking.com/searchresults.fr.html?ss=Paris,Hôtel D'Aubusson,https://www.booking.com/hotel/fr/d-aubusson.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c0b8aaccf42ea55c068306644f13a57b&srepoch=1754748699&from=searchresults,9.3
5,Paris,https://www.booking.com/searchresults.fr.html?ss=Paris,Hotel Eiffel Blomet,https://www.booking.com/hotel/fr/eiffel-blomet.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c0b8aaccf42ea55c068306644f13a57b&srepoch=1754748699&from_sustainable_property_sr=1&from=searchresults,8.8
5,Paris,https://www.booking.com/searchresults.fr.html?ss=Paris,Les Rives Oceanik,https://www.booking.com/hotel/fr/les-rives-oceanik.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c0b8aaccf42ea55c068306644f13a57b&srepoch=1754748699&from=searchresults,9.2
5,Paris,https://www.booking.com/searchresults.fr.html?ss=Paris,Lyric Hotel Paris Opera,https://www.booking.com/hotel/fr/lyric-ha-tel-paris.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c0b8aaccf42ea55c068306644f13a57b&srepoch=1754748699&from=searchresults,8.9
5,Paris,https://www.booking.com/searchresults.fr.html?ss=Paris,voco Paris Montparnasse by IHG,https://www.booking.com/hotel/fr/holiday-inn-paris-montparnasse-maine.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c0b8aaccf42ea55c068306644f13a57b&srepoch=1754748699&from_sustainable_property_sr=1&from=searchresults,8.3
5,Paris,https://www.booking.com/searchresults.fr.html?ss=Paris,Laz' Hotel Spa Urbain Paris,https://www.booking.com/hotel/fr/laz-39-spa-urbain-paris.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c0b8aaccf42ea55c068306644f13a57b&srepoch=1754748699&from_sustainable_property_sr=1&from=searchresults,8.7
